Datetime,Open,High,Low,Close,Volume,1,2,3,4,5,6
1632455100000,44433.45,44437.95,44300.00,44343.43,1087.787,1632455399999,48258847.84197,9041,368.432,16349798.54261,0
1632455400000,44342.70,44343.43,44252.53,44286.42,958.133,1632455699999,42436994.60960,9785,349.373,15477201.58718,0
1632455700000,44286.41,44288.91,44200.00,44270.30,1138.276,1632455999999,50360380.52379,12180,515.710,22819729.26532,0
1632456000000,44270.31,44342.59,44233.82,44320.29,791.881,1632456299999,35069659.75531,8813,468.943,20770370.43898,0
1632456300000,44320.30,44375.49,44255.00,44255.00,649.103,1632456599999,28778150.86290,7228,358.544,15898480.56242,0
1632456600000,44255.00,44278.27,44020.03,44117.07,3301.971,1632456899999,145706948.36411,26760,1253.868,55326842.96458,0
1632456900000,44117.08,44210.65,44057.65,44207.34,981.770,1632457199999,43337646.48086,11300,562.288,24822678.11038,0
1632457200000,44207.35,44243.23,44106.03,44168.32,1096.009,1632457499999,48429109.38700,9852,477.955,21122284.86415,0
1632457500000,44168.32,44233.48,44144.37,44162.73,469.561,1632457799999,20751456.24913,5772,263.737,11655749.06992,0
1632457800000,44162.73,44259.30,44150.75,44204.50,562.976,1632458099999,24891845.71640,6682,311.294,13764210.52866,0
1632458100000,44204.50,44279.67,44190.49,44265.94,416.294,1632458399999,18420367.42565,5496,255.478,11304443.32869,0
1632458400000,44265.93,44293.12,44255.00,44271.81,429.996,1632458699999,19039630.39353,5273,241.270,10683459.66594,0
1632458700000,44271.80,44293.00,44243.85,44267.03,402.425,1632458999999,17816168.85649,4483,167.393,7411276.53018,0
1632459000000,44267.04,44299.00,44210.95,44216.30,549.289,1632459299999,24306539.84732,5436,189.921,8403855.88209,0
1632459300000,44216.30,44287.00,44170.78,44255.00,496.472,1632459599999,21954324.35421,6314,253.529,11212650.76359,0
1632459600000,44256.55,44270.00,44154.66,44154.66,437.089,1632459899999,19322791.87947,6044,214.329,9476507.45807,0
1632459900000,44154.67,44171.83,44082.83,44147.73,941.918,1632460199999,41561659.42744,9366,459.738,20287263.40931,0
1632460200000,44147.72,44219.39,44116.47,44134.54,678.313,1632460499999,29961022.04657,6561,306.815,13555796.00305,0
1632460500000,44134.54,44138.96,44025.00,44040.24,1239.712,1632460799999,54646245.61485,11173,626.194,27606928.82255,0
1632460800000,44040.24,44050.03,43876.07,43905.01,2887.917,1632461099999,126912958.42616,24519,973.194,42773069.74288,0
1632461100000,43905.00,44030.59,43873.11,44009.51,1390.786,1632461399999,61148790.97128,12355,980.123,43099130.07654,0
1632461400000,44007.25,44019.14,43916.53,43999.79,632.327,1632461699999,27793115.79449,7917,296.427,13030042.38757,0
1632461700000,43999.80,44080.17,43999.80,44042.99,913.843,1632461999999,40248860.80723,8731,531.230,23398242.39638,0
1632462000000,44042.98,44150.00,44035.72,44109.02,922.319,1632462299999,40687876.26119,9639,564.314,24893754.85573,0
1632462300000,44109.01,44187.84,44082.53,44175.00,929.890,1632462599999,41048560.79327,9212,520.266,22968347.50356,0
1632462600000,44175.40,44185.00,44100.82,44150.38,542.138,1632462899999,23930489.96510,5718,227.595,10046480.45034,0
1632462900000,44150.03,44196.80,44127.12,44196.79,430.519,1632463199999,19007908.63295,5423,266.674,11774096.23689,0
1632463200000,44196.80,44287.49,44097.97,44283.84,1524.097,1632463499999,67380584.26732,13441,943.528,41729206.55800,0
1632463500000,44283.83,44333.00,44262.11,44331.98,1120.163,1632463799999,49625713.63906,11880,642.635,28471869.57865,0
1632463800000,44331.98,44338.70,44270.11,44289.01,916.499,1632464099999,40608339.62920,7924,291.348,12908327.52328,0
1632464100000,44289.01,44400.00,44289.01,44382.99,1144.377,1632464399999,50766839.39645,11304,720.691,31971432.95170,0
1632464400000,44383.00,44399.98,44344.00,44344.75,643.322,1632464699999,28545557.95644,7209,278.141,12342684.32408,0
1632464700000,44344.75,44373.48,44330.00,44334.84,360.528,1632464999999,15987940.49137,5015,141.930,6294139.72201,0
1632465000000,44334.83,44359.19,44259.15,44290.14,853.254,1632465299999,37796358.02153,8279,328.204,14539048.09051,0
1632465300000,44290.13,44292.00,44221.10,44235.20,594.992,1632465599999,26324653.64546,7203,258.219,11424529.09212,0
1632465600000,44235.20,44242.59,44150.00,44200.00,974.827,1632465899999,43072541.04298,9929,441.703,19516823.45996,0
1632465900000,44199.99,44227.19,44151.40,44202.50,593.863,1632466199999,26239955.23478,7114,374.692,16556665.80748,0
1632466200000,44202.49,44261.95,44154.48,44160.08,604.426,1632466499999,26720249.67400,7651,325.370,14385698.44153,0
1632466500000,44160.08,44160.09,44085.31,44091.78,735.033,1632466799999,32432472.97796,9114,336.176,14834095.32135,0
1632466800000,44091.78,44300.00,44083.00,44297.93,1276.151,1632467099999,56436433.99277,11027,865.670,38281235.67958,0
1632467100000,44299.23,44729.36,44227.93,44519.08,6069.802,1632467399999,270422665.22911,39257,3456.648,153991363.00215,0
1632467400000,44519.08,44659.00,44400.95,44588.51,2601.375,1632467699999,115835279.21358,22663,1353.406,60266427.49604,0
